A1	1	78	79	111	112	162	163	171	172	279	VK	0
A10	1	78	79	96	97	147	148	156	157	264	VK	0
A11	1	78	79	99	100	150	151	159	160	267	VK	0
A14	1	78	79	96	97	147	148	156	157	264	VK	0
A17	1	78	79	111	112	162	163	171	172	279	VK	0
A18b	1	78	79	111	112	162	163	171	172	279	VK	0
A19	1	78	79	111	112	162	163	171	172	279	VK	0
A2	1	78	79	111	112	162	163	171	172	279	VK	0
A20	1	78	79	96	97	147	148	156	157	264	VK	0
A23	1	78	79	111	112	162	163	171	172	279	VK	0
A26	1	78	79	96	97	147	148	156	157	264	VK	0
A27	1	78	79	99	100	150	151	159	160	267	VK	0
A3	1	78	79	111	112	162	163	171	172	279	VK	0
A30	1	78	79	96	97	147	148	156	157	264	VK	0
A5	1	78	79	111	112	162	163	171	172	279	VK	0
A7	1	78	79	111	112	162	163	171	172	279	VK	0
B2	1	78	79	96	97	147	148	156	157	264	VK	0
B3	1	78	79	114	115	165	166	174	175	282	VK	0
IGHV1-18*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-18*03	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-2*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-2*02	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-2*03	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-2*04	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-2*05	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-24*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-3*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-3*02	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-45*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-45*02	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-46*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-46*02	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-46*03	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-58*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-58*02	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-68*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-69*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-69*02	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-69*04	1	75	76	99	100	150	151	174	175	288	VH	0
