IGHV1S1*01	1	75	76	99	100	150	151	171	172	279	VH	0
IGHV1S13*01	1	75	76	99	100	150	151	171	172	279	VH	0
IGHV1S17*01	1	75	76	99	100	150	151	171	172	279	VH	0
IGHV1S24*01	1	75	76	99	100	150	151	171	172	279	VH	0
IGHV1S25*01	1	75	76	99	100	150	151	171	172	279	VH	0
IGHV1S26*01	1	72	73	96	97	147	148	168	169	282	VH	0
IGHV1S28*01	1	72	73	96	97	147	148	168	169	282	VH	0
IGHV1S31*01	1	72	73	96	97	147	148	168	169	282	VH	0
IGHV1S33*01	1	75	76	99	100	150	151	171	172	285	VH	0
IGHV1S34*01	1	72	73	96	97	147	148	168	169	282	VH	0
IGHV1S36*01	1	75	76	99	100	150	151	171	172	279	VH	0
IGHV1S40*01	1	72	73	99	100	150	151	177	178	288	VH	0
IGHV1S43*01	1	75	76	102	103	153	154	177	178	291	VH	0
IGHV1S44*01	1	72	73	96	97	147	148	168	169	279	VH	0
IGHV1S45*01	1	75	76	102	103	153	154	180	181	291	VH	0
IGHV1S47*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1S49*01	1	72	73	96	97	147	148	168	169	282	VH	0
IGHV1S50*01	1	72	73	96	97	147	148	168	169	282	VH	0
IGHV1S51*01	1	72	73	96	97	147	148	168	169	282	VH	0
IGHV1S52*01	1	72	73	96	97	147	148	168	169	282	VH	0
IGHV1S53*01	1	75	76	99	100	150	151	171	172	285	VH	0
IGHV1S54*01	1	72	73	96	97	147	148	168	169	282	VH	0
IGHV1S55*01	1	72	73	96	97	147	148	168	169	282	VH	0
IGHV1S56*01	1	75	76	99	100	150	151	171	172	285	VH	0
IGHV1S57*01	1	72	73	96	97	147	148	168	169	282	VH	0
IGHV1S58*01	1	75	76	99	100	150	151	171	172	285	VH	0
IGHV1S59*01	1	72	73	96	97	147	148	168	169	282	VH	0
IGHV1S60*01	1	72	73	96	97	147	148	168	169	282	VH	0
IGHV1S61*01	1	72	73	96	97	147	148	168	169	282	VH	0
IGHV1S62*01	1	72	73	96	97	147	148	168	169	282	VH	0
IGHV1S63*01	1	72	73	96	97	147	148	168	169	282	VH	0
IGHV1S64*01	1	72	73	96	97	147	148	168	169	282	VH	0
IGHV1S65*01	1	72	73	96	97	147	148	168	169	282	VH	0
IGHV1S66*01	1	72	73	96	97	147	148	168	169	282	VH	0
IGHV1S67*01	1	72	73	96	97	147	148	168	169	282	VH	0
IGHV1S68*01	1	72	73	96	97	147	148	168	169	282	VH	0
IGHV1S69*01	1	72	73	96	97	147	148	168	169	276	VH	0
IGHV1S7*01	1	72	73	96	97	147	148	171	172	285	VH	0
IGHV1S8*01	1	75	76	99	100	150	151	171	172	285	VH	0
IGLV1S2*01	1	75	76	99	100	150	151	159	160	267	VL	0
IGLV1S3*01	1	75	76	99	100	150	151	159	160	267	VL	0
IGLV2S1*01	1	75	76	102	103	153	154	162	163	270	VL	0
IGLV2S2*01	1	75	76	102	103	153	154	162	163	270	VL	0
IGLV3S2*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV3S6*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV3S9*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV4S3*01	1	75	76	96	97	147	148	168	169	276	VL	0
IGLV4S4*01	1	75	76	96	97	147	148	168	169	276	VL	0
